project_title,summary,amount,begining,ending,duration,executive_name,organization_abbreviation,program_ID,researcher_ID
Bpqrtffwq,Kvggn wnc asr pgmo. Vol xfavp. Lgikne. Mtaffejls fisfx oqp! J opss.,11213.9,2018/02/05,2019/09/06,3,Woodman Elderton,XEDFDC,415,65
Fuwantahl,Yelds mvi new uudk. Jbs elkbt. Lfizre. Mtaobwnij uaazj syw! H ffiz.,83883.9,2019/02/11,2019/08/31,1,Dunn Fliege,ZZLZVO,328,85
Flsppzchu,Fglda izb yjs mzxp. Bub ndwbb. Liqknw. Nyyzqycrk vxrkv khy! Z lrpk.,41450.4,2018/06/19,2020/03/11,2,Ralina Ewings,FQRRLP,750,83
Pvyzmyqbq,Fxlrv nra phq oiel. Szz kyptu. Arlbgj. Ypiwkdfgf rdgjs gva! N unec.,23198.9,2017/12/26,2020/07/02,2,Neddy Shercliff,FHVWRA,427,54
Emwstxhlh,Vaqae pqk vxs ldxf. Lla mfkbn. Caykeg. Pkgtrgxzj yniku xec! S vwze.,55580.0,2018/10/05,2020/12/10,5,Adey Thomton,UARZSU,91,93
Qezlleliu,Umimw nmw fgz rprh. Qpz ctbqf. Sjfjar. Rhldpyknp yodfx kbz! J anch.,53435.7,2017/09/05,2020/03/30,4,Brook Simeoni,TPKTDA,99,89
Fnpkjoejs,Kanaz aun dyt ntyf. Icg waejg. Qscxdx. Zgzlitocq udoij qhd! D woxf.,69951.3,2018/09/25,2022/05/17,3,Annissa Oldridge,ZZLZVO,427,35
Kjiqweyse,Wqalv mld fhp lfeh. Qgn ggbrd. Zmruho. Frpgibdku hadgw wmj! U ommy.,44969.8,2018/06/29,2019/11/22,4,Galvin Sigert,UARZSU,331,13
Ltsbxbgcn,Gtsoa xjj sol vjdy. Knx shbyb. Pwnmaw. Icapojrdw mdjol lqy! R gtnl.,23525.8,2018/02/08,2020/04/17,2,Reed Chinery,BAIWSZ,946,45
Nizwyjeuy,Fhooc sdk gyv cmmy. Clo jftve. Qkoohx. Teevsfeyz bwzvi fmn! X jfmq.,11395.5,2018/11/21,2022/02/04,1,Annissa Oldridge,HHKHHL,327,56
Lrynwhgje,Wftqi xdc jeg ajzq. Jod grfcs. Grrkou. Jouaurvxt hivoa eep! S rfpb.,47538.8,2018/04/28,2021/07/21,2,Cindie Worshall,JPXNYK,406,95
Hfunzwwdg,Ntewv git ekp cdfb. Cdh jhggq. Tixgur. Xlcsnquis pzzsh xyw! O bdht.,66891.9,2019/03/20,2020/02/04,1,Jerald Cuthbert,MOCYCG,323,46
Cxbyjjmym,Ozien afm hsj epah. Unf xbnpu. Lbckzc. Sontdcith xdeyl suz! R vegf.,48647.3,2018/12/13,2021/11/03,1,Kalindi Demeza,ASHUHP,419,48
Hotfcjyds,Wuyzt wxx vch tsgs. Hzq rybzy. Gtozbf. Gutajkwbr kknrb gqn! R clzn.,1671.7,2018/02/09,2020/09/03,5,Roseline Neissen,DWFOBV,233,40
Vknkwhvev,Qyjvi jbo bqk tzco. Yhx pmurw. Slzbyn. Srbrahvwr aklpo ihr! G dnci.,51740.2,2019/03/29,2019/12/07,4,Cindie Worshall,URXMIY,608,94
Ycwcphetv,Fnimr lis kjf xahj. Xbz njwvd. Fzdyrs. Ywexwgqtr yolqn drs! T yybf.,64849.0,2017/09/27,2019/12/09,3,Adey Thomton,ASHUHP,87,66
Bajzlifcr,Whhjq nyz oaz utfy. Gof paivs. Fybkkc. Xaykbyjqo vdnou fvr! D yjug.,20425.6,2018/04/28,2020/10/28,5,Syman Lettsom,ZZNPNJ,903,63
Bzhctbzii,Ddkuu dxd aic pttx. Wdk mutez. Uinbgl. Yoaruldyw ldcda cbt! L wqne.,97289.3,2018/11/14,2020/02/22,2,Goldina Birdwhistle,JPVZJU,277,77
Ijcelqvup,Oshfd dfo oyl lycp. Ldf juaqn. Vkibnl. Sggcadgvh fshxb djy! D wbid.,91130.9,2018/02/14,2020/12/05,4,Brook Simeoni,UXGHWU,233,45
Qbvzueqdg,Wtpix jml bmy foou. Rra hdarg. Hybztq. Uftziddug tcypq zky! E umex.,16994.5,2019/03/03,2021/08/30,2,Denyse Vennings,MOCYCG,514,52
Nerlpuxcu,Bcbxr nsc xfs llkt. Iux sevog. Klezyn. Lbptggdcr kgegk eqo! I mcax.,57293.9,2019/02/16,2020/02/24,1,Sergent Kayne,HHKHHL,648,93
Dtblslnln,Vxwks lls nej aouy. Hns ylatj. Gtwdwo. Tzkpiulau nbzxf jlc! I uggu.,97563.1,2018/05/03,2021/04/11,2,Igor Burnel,LTMCJM,541,43
Jwqmhjzuo,Bpcgp tkn mlr iykl. Apb rjumo. Zcpoec. Qzrcacmtl anqni zzp! Q uydg.,81181.0,2017/06/20,2022/01/15,4,Julia Roebottom,RJFDKL,183,76
Utmuwitnn,Hwzuj ddl pzt gfva. Eup jxgnm. Cneixs. Jxoyijzkz ptcqb ffp! T dajb.,57127.8,2018/01/10,2020/05/13,4,Woodman Elderton,EXUSVD,99,95
Kgmbyfgny,Khjzh qdf pit tvum. Doy zsmsq. Oyfalf. Nrffmqxkg eajsh qda! F sxbi.,96952.1,2018/11/10,2020/08/28,4,Annissa Oldridge,GMNMNT,95,48
Mhkmkvnlm,Zpfbr aeq irx snpf. Iyg npynl. Jqqouw. Ujqdqmrsi swont mth! C shzj.,15026.4,2018/11/11,2022/02/28,3,Reed Chinery,JGNRAX,975,32
Ufojgvngc,Mnfrg xeq nlf txpp. Qjq ajuya. Cgoqnu. Mwqpafysc wbkrz yhk! H nsxd.,46253.1,2018/03/26,2020/06/04,4,Emelyne Matashkin,YGYUKI,327,92
Spqurxqfh,Bqezd luh bsn kqfk. Gbl eugcg. Spfoay. Mlnaodzaw qwjcm hnv! W cpid.,67640.4,2017/11/24,2019/10/09,4,Jerald Cuthbert,GIDVFS,277,19
Anvngeidu,Vmcbg iol ldi oqvh. Rcj qknba. Etnahx. Dmvxcvort lacjt esi! O tsch.,89087.1,2019/01/07,2021/06/05,1,Nell Danilchenko,JGNRAX,519,63
Lejyysrar,Jiwmm bvv ctr hxlu. Ynr yfcjm. Jxsemm. Trujnbnnr ihumg uny! N xpyi.,13559.8,2017/12/09,2019/07/30,2,Tyrus Rabbet,WEYOCT,865,57
Iuubyhtet,Kiwsj rvz cpu nizb. Vnq yvkjx. Cyiuiv. Kwprcicnc vtpul iej! M dgal.,41194.4,2018/05/23,2019/07/03,2,Julia Roebottom,YSNQLY,608,101
Zmlcqljqb,Xllkd rog vfd bggi. Sek vhgcg. Zchtkn. Gonusbpry hofsk dnp! T bafb.,80744.4,2017/08/20,2021/02/11,3,Syman Lettsom,ZZLZVO,758,26
Urmhldqfs,Xcpaz bhc tio phph. Nad fotjl. Xbeiwn. Fqweiywqw kymol owt! B woog.,11105.9,2018/02/21,2020/03/15,3,Rosalia Abbe,UARZSU,977,54
Oqvdflgkk,Wmzst qtr tqq ntcd. Hrs gmvnh. Dbaixs. Irkfbvyog wjwom dzr! D wpaw.,91233.5,2018/08/27,2020/11/03,5,Ralina Ewings,OUEGSW,825,23
Mpaxtkgvh,Mjgtf ovv gtj sgzw. Viw acgkp. Auesjc. Onepfekim ephdz hxk! J tmfa.,26860.2,2018/11/29,2020/11/24,3,Alastair Garvan,YSNQLY,315,28
Ldtsgmosf,Ajvsc lbh eiq wizp. Mtb greno. Patzsk. Dflnayoxk sxkwf pxn! P diqw.,87709.0,2018/02/18,2019/08/08,1,Ralina Ewings,ASHUHP,419,19
Ojnvaebtr,Pfvuq znj eav endw. Oaz sceia. Wvsnfv. Acyupedpt jbtmw sqr! W qbrp.,57704.0,2019/05/14,2020/01/10,4,Roze Mourton,FXLJBS,903,79
Cieuxwyun,Tqdpt lay wya jurr. Wmq jhwpj. Sodaww. Vqxqoabtb czriq gjk! N areg.,46698.4,2018/07/04,2021/06/25,4,Ralina Ewings,OUEGSW,95,53
Gwxxoevdl,Jpihl nre twy bsge. Rua meeze. Souwlk. Hoxestbjz vrbft hzy! J dxmb.,76931.6,2017/10/02,2020/02/05,1,Kalindi Demeza,UXGHWU,139,51
Glyzvyqxm,Vkcgu ebf klt mwkw. Gre zmqyt. Xmxlhk. Jxvohnihi vsvmm jqo! O msug.,88964.2,2017/12/18,2022/01/13,2,Minda O'Dowd,WEYOCT,171,5
Beasvvqgf,Hzrou gqu kow vyxw. Qdk yqhhl. Ootlaa. Kxsmbxklk rhywu zpn! S ezvz.,1018.2,2018/04/08,2022/02/21,4,Alis Boutell,GMNMNT,395,42
Ktvezedqw,Jggat rfd uqm ihsw. Qra iizby. Iqetqx. Lnsayeeek ymkji mai! I xrpl.,49601.1,2018/01/21,2019/06/14,3,Caesar Cushworth,GIDVFS,514,37
Tfyrlitma,Coftu cmm orl muhj. Yoa ltqfd. Galkpp. Ugaqdxovw tgocv mmt! G jkho.,83212.0,2017/11/12,2019/11/24,1,Galvin Sigert,MPKCBF,555,65
Rtoixcclv,Hhqrv zur cmo nxrn. Rsc vaqlu. Whzeag. Ovelvbitt rkipy uuh! X ozih.,14043.2,2018/07/15,2019/06/15,5,Emelyne Matashkin,TPKTDA,648,21
Fvjsdafig,Qpejb fpy paf llqx. Qmo wwpob. Imnnlx. Lhijfyqkw ookln gwj! F hmzz.,44700.0,2017/10/26,2020/01/27,4,Brook Simeoni,FQRRLP,282,90
Jnutsxvxp,Hflap wiy cll svpi. Hdt arxtz. Trgtro. Cnwasafdt tuksf kdw! I shqb.,32193.2,2018/10/06,2021/08/25,2,Rosalia Abbe,ZZNPNJ,99,72
Afyfvsfdh,Thlss igv gov nkhg. Goz eapfa. Pmpiyk. Thslvhmhj yygse ntg! D zoad.,51457.4,2018/08/22,2019/11/07,4,Woodman Elderton,TOWGKZ,758,23
Scphslbep,Ekhjf edx vnv zbeo. Fvs bpjeu. Npqlkk. Xdffkauvi jhevx wuh! Q piew.,36586.5,2018/12/11,2020/04/26,3,Hinda Mastrantone,JPXNYK,884,90
Pfsrqhihe,Dxtop ujl hfs wvda. Fot dmhaf. Mkmpxb. Ubbxoyhbz pcafz ytx! D huxm.,81416.5,2017/12/01,2019/10/30,4,Roze Mourton,STKETM,194,17
Wpnuhcvnh,Zajyi zfd osx wofz. Nsz expvu. Atmlzo. Tiruizzpw pcnuv zrt! S jhmk.,16285.9,2018/12/26,2019/06/19,4,Norina Ryott,URXMIY,415,64
